,Unicode,Standard,,Iso latin 1,,CE,,Symbol,,PS name,Unicode name
,hex,octal,hex,octal,hex,octal,hex,octal,hex,,
245,00F5,,,365,00F5,,,,,otilde,latin small letter o with tilde
80,50,120,50,120,50,120,50,,,P,latin capital letter p
112,70,160,70,160,70,160,70,,,p,latin small letter p
182,00B6,266,00B6,266,00B6,266,00B6,,,paragraph,pilcrow sign
,00B6,266,B6,,,,,,,paragraph,PILCROW SIGN
40,28,50,28,50,28,50,28,50,28,parenleft,left parenthesis
,28,050,28,,,,,,,parenleft,LEFT PARENTHESIS
,28,,,,,,,050,28,parenleft,LEFT PARENTHESIS
,F8ED,,,,,,,350,E8,parenleftbt (CUS),LEFT PAREN BOTTOM
,F8EC,,,,,,,347,E7,parenleftex (CUS),LEFT PAREN EXTENDER
,F8EB,,,,,,,346,E6,parenlefttp (CUS),LEFT PAREN TOP
41,29,51,29,51,29,51,29,51,29,parenright,right parenthesis
,F8F8,,,,,,,370,F8,parenrightbt (CUS),RIGHT PAREN BOTTOM
,F8F7,,,,,,,367,F7,parenrightex (CUS),RIGHT PAREN EXTENDER
,F8F6,,,,,,,366,F6,parenrighttp (CUS),RIGHT PAREN TOP
,2202,,,,,,,266,B6,partialdiff,PARTIAL DIFFERENTIAL
37,25,45,25,45,25,45,25,45,25,percent,percent sign
46,002E,56,002E,56,002E,56,002E,56,2E,period,full stop
,2219,264,B4,,,,,,,periodcentered,BULLET OPERATOR
183,00B7,264,00B4,267,00B7,267,00B7,,,periodcentered,middle dot
,22A5,,,,,,,136,5E,perpendicular,UP TACK
,U+2030,275,00BD,,,211,89,,,perthousand,per mille sign
,03A6,,,,,,,106,46,Phi,GREEK CAPITAL LETTER PHI
,03C6,,,,,,,146,66,phi,GREEK SMALL LETTER PHI
,03D5,,,,,,,152,6A,phi1,GREEK PHI SYMBOL
,03A0,,,,,,,120,50,Pi,GREEK CAPITAL LETTER PI
,03C0,,,,,,,160,70,pi,GREEK SMALL LETTER PI
43,002B,53,002B,53,002B,53,002B,53,2B,plus,plus sign
,002B,053,2B,,,,,,,plus,PLUS SIGN
,002B,,,,,,,053,2B,plus,PLUS SIGN
177,00B1,,,261,00B1,261,00B1,261,B1,plusminus,Plus-minus sign
,220F,,,,,,,325,D5,product,N-ARY PRODUCT
,2282,,,,,,,314,CC,propersubset,SUBSET OF
,2283,,,,,,,311,C9,propersuperset,SUPERSET OF
,221D,,,,,,,265,B5,proportional,PROPORTIONAL TO
,03A8,,,,,,,131,59,Psi,GREEK CAPITAL LETTER PSI
,03C8,,,,,,,171,79,psi,GREEK SMALL LETTER PSI
81,51,121,51,121,51,121,51,,,Q,latin capital letter q
113,71,161,71,161,71,161,71,,,q,latin small letter q
63,003F,77,003F,77,003F,77,003F,77,3F,question,question mark
191,00BF,277,00BF,277,00BF,,,,,questiondown,inverted question mark
34,22,42,22,42,22,42,22,,,quotedbl,quotation mark
,U+201e,271,00B9,,,204,84,,,quotedblbase,double low-9 quotation mark
,u+201c,252,00AA,,,223,93,,,quotedblleft,left double quotation mark
,U+201d,272,00BA,,,224,94,,,quotedblright,right double quotation mark
,U+2018,140,60,0,0,221,91,,,quoteleft,left single quotation mark
,0x2019,47,27,,,222,92,,,quoteright,right single quotation mark
,U+201a,270,00B8,,,202,82,,,quotesinglbase,single low-9 quation mark
47,27,251,00A9,,,47,27,,,quotesingle,quotation mark
82,52,122,52,122,52,122,52,,,R,latin capital letter r
114,72,162,72,162,72,162,72,,,r,latin small letter r
,U+0154,,,,,300,00C0,,,Racute,latin capital letter r with acute
,U+0155,,,,,340,E0,,,racute,latin small letter r with acute
,221A,,,,,,,326,D6,radical,SQUARE ROOT
,F8E5,,,,,,,140,60,radicalex (CUS),RADICAL EXTENDER
,U+0158,,,,,330,00D8,,,Rcaron,latin capital letter r with caron
,U+0159,,,,,370,00F8,,,rcaron,latin small letter r with caron
,2286,,,,,,,315,CD,reflexsubset,SUBSET OF OR EQUAL TO
,2287,,,,,,,312,CA,reflexsuperset,SUPERSET OF OR EQUAL TO
174,00AE,,,256,00AE,256,00AE,,,registered,registered sign
,F8E8,,,,,,,342,E2,registersans (CUS),REGISTERED SIGN SANS SERIF
,F6DA,,,,,,,322,D2,registerserif (CUS),REGISTERED SIGN SERIF
,211C,,,,,,,302,C2,Rfraktur,BLACK-LETTER CAPITAL R
,03A1,,,,,,,122,52,Rho,GREEK CAPITAL LETTER RHO
,03C1,,,,,,,162,72,rho,GREEK SMALL LETTER RHO
154,U+02da,312,00CA,232,009A,,,,,ring,ring above (combining ring above is U+030a)
83,53,123,53,123,53,123,53,,,S,latin capital letter s
115,73,163,73,163,73,163,73,,,s,latin small letter s
,U+015a,,,,,214,008C,,,Sacute,latin capital letter s with acute
,U+015b,,,,,234,009C,,,sacute,latin small letter s with acute
,U+0160,,,,,212,008A,,,Scaron,latin capital letter s with caron
,U+0161,,,,,232,009A,,,scaron,latin small letter s with caron
,U+015e,,,,,252,00AA,,,Scommaaccent,Latin capital letter s with cedilla
,U+015f,,,,,272,00BA,,,scommaaccent,latin small letter s with cedilla
,2033,,,,,,,262,B2,second,DOUBLE PRIME
167,00A7,247,00A7,247,00A7,247,00A7,,,section,section sign
59,003B,73,003B,73,003B,73,003B,73,3B,semicolon,semicolon
55,37,67,37,67,37,67,37,67,37,seven,digit seven
,03A3,,,,,,,123,53,Sigma,GREEK CAPITAL LETTER SIGMA
,03C3,,,,,,,163,73,sigma,GREEK SMALL LETTER SIGMA
,03C2,,,,,,,126,56,sigma1,GREEK SMALL LETTER FINAL SIGMA
,223C,,,,,,,176,7E,similar,TILDE OPERATOR
,36,066,36,,,,,66,36,six,DIGIT SIX
47,002F,57,002F,57,002F,57,002F,057,2F,slash,solidus
